# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
ZDHHC24	ZDHHC24	NM_207340.3	NP_997223.1
ACTN3	ACTN3	NM_001104.4	NP_001095.2
CTSF	CTSF	NM_003793.4	NP_003784.2
CCDC87	CCDC87	NM_018219.3	NP_060689.2
CCS	CCS	NM_005125.2	NP_005116.1
RBM14	RBM14	NM_006328.4	NP_006319.1
RBM4	RBM4	NM_002896.4	NP_002887.2
RBM4B	RBM4B	NM_031492.4	NP_113680.1
SPTBN2	SPTBN2	NM_006946.4	NP_008877.2
C11orf80	C11orf80	NM_001302084.2	NP_001289013.1
RCE1	RCE1	NM_005133.3	NP_005124.1
PC	PC	NM_001040716.2	NP_001035806.1
LRFN4	LRFN4	NM_024036.5	NP_076941.2
C11orf86	C11orf86	NM_001353554.2	NP_001340483.1
SYT12	SYT12	NM_177963.4	NP_808878.1
RHOD	RHOD	NM_014578.4	NP_055393.1
KDM2A	KDM2A	NM_012308.3	NP_036440.1
GRK2	GRK2	NM_001619.5	NP_001610.2
ANKRD13D	ANKRD13D	NM_207354.3	NP_997237.2
SSH3	SSH3	NM_017857.4	NP_060327.3
POLD4	POLD4	NM_021173.5	NP_066996.3
CLCF1	CLCF1	NM_013246.3	NP_037378.1
RAD9A	RAD9A	NM_004584.3	NP_004575.1
PPP1CA	PPP1CA	NM_002708.4	NP_002699.1
TBC1D10C	TBC1D10C	NM_001369496.1	NP_001356425.1
CARNS1	CARNS1	NM_001166222.2	NP_001159694.1
RPS6KB2	RPS6KB2	NM_003952.3	NP_003943.2
CORO1B	CORO1B	NM_020441.3	NP_065174.1
PTPRCAP	PTPRCAP	NM_005608.3	NP_005599.1
GPR152	GPR152	NM_206997.1	NP_996880.1
CABP4	CABP4	NM_145200.5	NP_660201.1
TMEM134	TMEM134	NM_025124.4	NP_079400.1
AIP	AIP	NM_003977.4	NP_003968.3
PITPNM1	PITPNM1	NM_004910.3	NP_004901.2
CDK2AP2	CDK2AP2	NM_005851.5	NP_005842.1
CABP2	CABP2	NM_016366.3	NP_057450.2
GSTP1	GSTP1	NM_000852.4	NP_000843.1
NDUFV1	NDUFV1	NM_007103.4	NP_009034.2
NUDT8	NUDT8	NM_001243750.2	NP_001230679.1
TBX10	TBX10	NM_005995.5	NP_005986.2
ACY3	ACY3	NM_080658.2	NP_542389.1
ALDH3B2	ALDH3B2	NM_001393402.2	NP_001380331.1
UNC93B1	UNC93B1	NM_030930.4	NP_112192.2
ALDH3B1	ALDH3B1	NM_000694.4	NP_000685.1
NDUFS8	NDUFS8	NM_002496.4	NP_002487.1
TCIRG1	TCIRG1	NM_006019.4	NP_006010.2
CHKA	CHKA	NM_001277.3	NP_001268.2
KMT5B	KMT5B	NM_017635.5	NP_060105.3
C11orf24	C11orf24	NM_022338.4	NP_071733.1
LRP5	LRP5	NM_002335.4	NP_002326.2
PPP6R3	PPP6R3	NM_001164161.2	NP_001157633.1
GAL	GAL	NM_015973.5	NP_057057.2
TESMIN	TESMIN	NM_004923.3	NP_004914.2
CPT1A	CPT1A	NM_001876.4	NP_001867.2
MRPL21	MRPL21	NM_181514.2	NP_852615.1
IGHMBP2	IGHMBP2	NM_002180.3	NP_002171.2
MRGPRD	MRGPRD	NM_198923.2	NP_944605.2
MRGPRF	MRGPRF	NM_145015.5	NP_659452.3
TPCN2	TPCN2	NM_139075.4	NP_620714.2
SMIM38	SMIM38	NM_001369201.2	NP_001356130.1
MYEOV	MYEOV	NM_001293291.2	NP_001280220.1
CCND1	CCND1	NM_053056.3	NP_444284.1
LTO1	LTO1	NM_153451.3	NP_703152.1
FGF19	FGF19	NM_005117.3	NP_005108.1
FGF4	FGF4	NM_002007.4	NP_001998.1
FGF3	FGF3	NM_005247.4	NP_005238.1
ANO1	ANO1	NM_018043.7	NP_060513.5
FADD	FADD	NM_003824.4	NP_003815.1
PPFIA1	PPFIA1	NM_003626.5	NP_003617.1
CTTN	CTTN	NM_005231.4	NP_005222.2
SHANK2	SHANK2	NM_012309.5	NP_036441.2
DHCR7	DHCR7	NM_001360.3	NP_001351.2
NADSYN1	NADSYN1	NM_018161.5	NP_060631.2
KRTAP5-7	KRTAP5-7	NM_001012503.2	NP_001012521.1
KRTAP5-8	KRTAP5-8	NM_021046.3	NP_066384.2
KRTAP5-9	KRTAP5-9	NM_005553.4	NP_005544.4
KRTAP5-10	KRTAP5-10	NM_001012710.2	NP_001012728.1
KRTAP5-11	KRTAP5-11	NM_001005405.3	NP_001005405.1
DEFB108B	DEFB108B	NM_001002035.2	NP_001002035.1
XNDC1N	XNDC1N	NM_001375847.2	NP_001362776.1
DEFB131B	DEFB131B	NM_001242853.1	NP_001229782.1
RNF121	RNF121	NM_018320.5	NP_060790.2
IL18BP	IL18BP	NM_001039660.2	NP_001034749.1
NUMA1	NUMA1	NM_006185.4	NP_006176.2
LRRC51	LRRC51	NM_145309.6	NP_660352.1
LAMTOR1	LAMTOR1	NM_017907.3	NP_060377.1
TOMT	TOMT	NM_001393500.2	NP_001380429.1
ANAPC15	ANAPC15	NM_014042.3	NP_054761.1
FOLR3	FOLR3	NM_000804.4	NP_000795.2
FOLR1	FOLR1	NM_016729.3	NP_057941.1
FOLR2	FOLR2	NM_000803.5	NP_000794.3
INPPL1	INPPL1	NM_001567.4	NP_001558.3
PHOX2A	PHOX2A	NM_005169.4	NP_005160.2
CLPB	CLPB	NM_001258392.3	NP_001245321.1
CLPB	CLPB	NM_030813.6	NP_110440.1
PDE2A	PDE2A	NM_002599.5	NP_002590.1
ARAP1	ARAP1	NM_001040118.3	NP_001035207.1
STARD10	STARD10	NM_006645.3	NP_006636.2
ATG16L2	ATG16L2	NM_033388.2	NP_203746.1
FCHSD2	FCHSD2	NM_014824.3	NP_055639.2
P2RY2	P2RY2	NM_002564.4	NP_002555.4
P2RY6	P2RY6	NM_001277204.2	NP_001264133.1
ARHGEF17	ARHGEF17	NM_014786.4	NP_055601.2
RELT	RELT	NM_152222.2	NP_689408.1
FAM168A	FAM168A	NM_015159.3	NP_055974.1
PLEKHB1	PLEKHB1	NM_021200.3	NP_067023.1
RAB6A	RAB6A	NM_198896.2	NP_942599.1
MRPL48	MRPL48	NM_016055.6	NP_057139.1
COA4	COA4	NM_016565.3	NP_057649.2
PAAF1	PAAF1	NM_025155.3	NP_079431.1
DNAJB13	DNAJB13	NM_153614.4	NP_705842.2
UCP2	UCP2	NM_003355.3	NP_003346.2
UCP3	UCP3	NM_003356.4	NP_003347.1
C2CD3	C2CD3	NM_001286577.2	NP_001273506.1
PPME1	PPME1	NM_016147.3	NP_057231.1
P4HA3	P4HA3	NM_182904.5	NP_878907.1
PGM2L1	PGM2L1	NM_173582.6	NP_775853.2
KCNE3	KCNE3	NM_005472.5	NP_005463.1
LIPT2	LIPT2	NM_001144869.3	NP_001138341.1
POLD3	POLD3	NM_006591.3	NP_006582.1
CHRDL2	CHRDL2	NM_001278473.3	NP_001265402.1
RNF169	RNF169	NM_001098638.2	NP_001092108.1
XRRA1	XRRA1	NM_001378157.1	NP_001365086.1
SPCS2	SPCS2	NM_014752.3	NP_055567.2
NEU3	NEU3	NM_006656.6	NP_006647.3
OR2AT4	OR2AT4	NM_001405852.1	NP_001392781.1
SLCO2B1	SLCO2B1	NM_007256.5	NP_009187.1
TPBGL	TPBGL	NM_001195528.2	NP_001182457.1
ARRB1	ARRB1	NM_004041.5	NP_004032.2
RPS3	RPS3	NM_001005.5	NP_000996.2
KLHL35	KLHL35	NM_001039548.3	NP_001034637.2
GDPD5	GDPD5	NM_030792.8	NP_110419.5
SERPINH1	SERPINH1	NM_001235.5	NP_001226.2
MAP6	MAP6	NM_033063.2	NP_149052.1
MOGAT2	MOGAT2	NM_025098.4	NP_079374.2
DGAT2	DGAT2	NM_032564.5	NP_115953.2
UVRAG	UVRAG	NM_003369.4	NP_003360.2
WNT11	WNT11	NM_004626.3	NP_004617.2
THAP12	THAP12	NM_004705.4	NP_004696.2
GVQW3	GVQW3	NM_001347885.2	NP_001334814.1
EMSY	EMSY	NM_001300942.2	NP_001287871.1
LRRC32	LRRC32	NM_001128922.2	NP_001122394.1
TSKU	TSKU	NM_015516.4	NP_056331.2
ACER3	ACER3	NM_018367.7	NP_060837.3
B3GNT6	B3GNT6	NM_138706.5	NP_619651.3
CAPN5	CAPN5	NM_004055.5	NP_004046.2
OMP	OMP	NM_006189.1	NP_006180.1
MYO7A	MYO7A	NM_000260.4	NP_000251.3
GDPD4	GDPD4	NM_182833.3	NP_878253.1
PAK1	PAK1	NM_002576.5	NP_002567.3
AQP11	AQP11	NM_173039.3	NP_766627.1
CLNS1A	CLNS1A	NM_001293.3	NP_001284.1
RSF1	RSF1	NM_016578.4	NP_057662.3
AAMDC	AAMDC	NM_024684.4	NP_078960.1
INTS4	INTS4	NM_033547.4	NP_291025.3
KCTD14	KCTD14	NM_023930.4	NP_076419.2
THRSP	THRSP	NM_003251.4	NP_003242.1
NDUFC2	NDUFC2	NM_004549.6	NP_004540.1
ALG8	ALG8	NM_024079.5	NP_076984.2
KCTD21	KCTD21	NM_001029859.3	NP_001025030.1
USP35	USP35	NM_020798.4	NP_065849.1
GAB2	GAB2	NM_080491.3	NP_536739.1
NARS2	NARS2	NM_024678.6	NP_078954.4
TENM4	TENM4	NM_001098816.3	NP_001092286.2
FAM181B	FAM181B	NM_175885.4	NP_787081.2
PRCP	PRCP	NM_005040.4	NP_005031.1
DDIAS	DDIAS	NM_145018.4	NP_659455.3
RAB30	RAB30	NM_001286060.2	NP_001272989.1
PCF11	PCF11	NM_001346413.3	NP_001333342.1
ANKRD42	ANKRD42	NM_001300975.2	NP_001287904.1
CCDC90B	CCDC90B	NM_021825.5	NP_068597.2
DLG2	DLG2	NM_001142699.3	NP_001136171.1
TMEM126B	TMEM126B	NM_018480.7	NP_060950.3
TMEM126A	TMEM126A	NM_032273.4	NP_115649.1
CREBZF	CREBZF	NM_001039618.4	NP_001034707.1
CCDC89	CCDC89	NM_152723.3	NP_689936.1
SYTL2	SYTL2	NM_206927.4	NP_996810.2
CCDC83	CCDC83	NM_001286159.2	NP_001273088.1
PICALM	PICALM	NM_007166.4	NP_009097.2
EED	EED	NM_003797.5	NP_003788.2
HIKESHI	HIKESHI	NM_016401.4	NP_057485.2
CCDC81	CCDC81	NM_001156474.2	NP_001149946.1
ME3	ME3	NM_001161586.3	NP_001155058.1
PRSS23	PRSS23	NM_007173.6	NP_009104.3
FZD4	FZD4	NM_012193.4	NP_036325.2
TMEM135	TMEM135	NM_022918.4	NP_075069.3
RAB38	RAB38	NM_022337.3	NP_071732.1
CTSC	CTSC	NM_001814.6	NP_001805.4
GRM5	GRM5	NM_001143831.3	NP_001137303.1
TYR	TYR	NM_000372.5	NP_000363.1
NOX4	NOX4	NM_016931.5	NP_058627.2
TRIM77	TRIM77	NM_001146162.1	NP_001139634.1
TRIM49	TRIM49	NM_020358.2	NP_065091.1
TRIM64B	TRIM64B	NM_001164397.3	NP_001157869.1
TRIM49D1	TRIM49D1	NM_001384911.1	NP_001371840.1
TRIM49D2	TRIM49D2	NM_001105522.1	NP_001098992.1
TRIM64	TRIM64	NM_001136486.2	NP_001129958.1
TRIM49C	TRIM49C	NM_001195234.1	NP_001182163.1
UBTFL1	UBTFL1	NM_001143975.1	NP_001137447.1
NAALAD2	NAALAD2	NM_005467.4	NP_005458.1
CHORDC1	CHORDC1	NM_012124.3	NP_036256.2
FAT3	FAT3	NM_001367949.2	NP_001354878.1
MTNR1B	MTNR1B	NM_005959.5	NP_005950.1
SLC36A4	SLC36A4	NM_152313.4	NP_689526.2
DEUP1	DEUP1	NM_181645.4	NP_857596.2
SMCO4	SMCO4	NM_020179.3	NP_064564.1
CEP295	CEP295	NM_033395.2	NP_203753.1
TAF1D	TAF1D	NM_024116.4	NP_077021.1
C11orf54	C11orf54	NM_001286069.2	NP_001272998.1
MED17	MED17	NM_004268.5	NP_004259.3
VSTM5	VSTM5	NM_001144871.2	NP_001138343.1
HEPHL1	HEPHL1	NM_001098672.2	NP_001092142.1
PANX1	PANX1	NM_015368.4	NP_056183.2
IZUMO1R	IZUMO1R	NM_001199206.4	NP_001186135.1
GPR83	GPR83	NM_016540.4	NP_057624.3
MRE11	MRE11	NM_005591.4	NP_005582.1
ANKRD49	ANKRD49	NM_017704.3	NP_060174.2
C11orf97	C11orf97	NM_001190462.2	NP_001177391.1
FUT4	FUT4	NM_002033.4	NP_002024.1
PIWIL4	PIWIL4	NM_152431.3	NP_689644.2
AMOTL1	AMOTL1	NM_130847.3	NP_570899.1
CWC15	CWC15	NM_016403.4	NP_057487.2
KDM4D	KDM4D	NM_018039.3	NP_060509.2
KDM4E	KDM4E	NM_001161630.1	NP_001155102.1
SRSF8	SRSF8	NM_032102.4	NP_115285.1
ENDOD1	ENDOD1	NM_015036.3	NP_055851.1
SESN3	SESN3	NM_144665.4	NP_653266.2
FAM76B	FAM76B	NM_144664.5	NP_653265.3
CEP57	CEP57	NM_014679.5	NP_055494.2
MTMR2	MTMR2	NM_016156.6	NP_057240.3
MAML2	MAML2	NM_032427.4	NP_115803.1
CCDC82	CCDC82	NM_024725.4	NP_079001.2
JRKL	JRKL	NM_001261833.2	NP_001248762.1
CNTN5	CNTN5	NM_014361.4	NP_055176.1
ARHGAP42	ARHGAP42	NM_152432.4	NP_689645.2
PGR	PGR	NM_000926.4	NP_000917.3
TRPC6	TRPC6	NM_004621.6	NP_004612.2
ANGPTL5	ANGPTL5	NM_178127.5	NP_835228.2
CEP126	CEP126	NM_020802.4	NP_065853.3
CFAP300	CFAP300	NM_032930.3	NP_116319.2
YAP1	YAP1	NM_001130145.3	NP_001123617.1
BIRC3	BIRC3	NM_001165.5	NP_001156.1
BIRC2	BIRC2	NM_001166.5	NP_001157.1
TMEM123	TMEM123	NM_052932.3	NP_443164.2
MMP7	MMP7	NM_002423.5	NP_002414.1
MMP20	MMP20	NM_004771.4	NP_004762.2
MMP27	MMP27	NM_022122.3	NP_071405.2
MMP8	MMP8	NM_002424.3	NP_002415.1
MMP10	MMP10	NM_002425.3	NP_002416.1
MMP1	MMP1	NM_002421.4	NP_002412.1
MMP3	MMP3	NM_002422.5	NP_002413.1
MMP12	MMP12	NM_002426.6	NP_002417.2
MMP13	MMP13	NM_002427.4	NP_002418.1
DCUN1D5	DCUN1D5	NM_032299.4	NP_115675.1
DYNC2H1	DYNC2H1	NM_001080463.2	NP_001073932.1
DYNC2H1	DYNC2H1	NM_001377.3	NP_001368.2
PDGFD	PDGFD	NM_025208.5	NP_079484.1
DDI1	DDI1	NM_001001711.3	NP_001001711.1
CASP4	CASP4	NM_001225.4	NP_001216.1
CASP5	CASP5	NM_004347.5	NP_004338.3
CASP1	CASP1	NM_001257118.3	NP_001244047.1
CARD16	CARD16	NM_052889.4	NP_443121.1
CARD18	CARD18	NM_021571.4	NP_067546.1
GRIA4	GRIA4	NM_000829.4	NP_000820.4
MSANTD4	MSANTD4	NM_032424.3	NP_115800.1
KBTBD3	KBTBD3	NM_198439.3	NP_940841.1
AASDHPPT	AASDHPPT	NM_015423.3	NP_056238.2
GUCY1A2	GUCY1A2	NM_000855.3	NP_000846.1
CWF19L2	CWF19L2	NM_152434.3	NP_689647.2
ALKBH8	ALKBH8	NM_138775.3	NP_620130.2
ELMOD1	ELMOD1	NM_018712.4	NP_061182.3
SLN	SLN	NM_003063.3	NP_003054.1
SLC35F2	SLC35F2	NM_017515.5	NP_059985.2
RAB39A	RAB39A	NM_017516.3	NP_059986.1
CUL5	CUL5	NM_003478.6	NP_003469.2
ACAT1	ACAT1	NM_000019.4	NP_000010.1
NPAT	NPAT	NM_002519.3	NP_002510.2
ATM	ATM	NM_000051.4	NP_000042.3
C11orf65	C11orf65	NM_152587.5	NP_689800.3
POGLUT3	POGLUT3	NM_153705.5	NP_714916.3
EXPH5	EXPH5	NM_015065.3	NP_055880.2
DDX10	DDX10	NM_004398.4	NP_004389.2
C11orf87	C11orf87	NM_207645.4	NP_997528.2
ZC3H12C	ZC3H12C	NM_033390.2	NP_203748.1
RDX	RDX	NM_002906.4	NP_002897.1
FDX1	FDX1	NM_004109.5	NP_004100.1
ARHGAP20	ARHGAP20	NM_001384657.1	NP_001371586.1
POU2AF2	POU2AF2	NM_198498.3	NP_940900.2
POU2AF3	POU2AF3	NM_001271458.2	NP_001258387.1
POU2AF1	POU2AF1	NM_006235.3	NP_006226.2
BTG4	BTG4	NM_001367975.1	NP_001354904.1
HOATZ	HOATZ	NM_001100388.2	NP_001093858.1
LAYN	LAYN	NM_178834.5	NP_849156.1
SIK2	SIK2	NM_015191.3	NP_056006.1
PPP2R1B	PPP2R1B	NM_002716.5	NP_002707.3
ALG9	ALG9	NM_024740.2	NP_079016.2
FDXACB1	FDXACB1	NM_138378.3	NP_612387.1
CFAP68	CFAP68	NM_022761.3	NP_073598.1
CRYAB	CRYAB	NM_001289808.2	NP_001276737.1
HSPB2	HSPB2	NM_001541.4	NP_001532.1
C11orf52	C11orf52	NM_080659.3	NP_542390.2
DIXDC1	DIXDC1	NM_001037954.4	NP_001033043.1
DLAT	DLAT	NM_001931.5	NP_001922.2
PIH1D2	PIH1D2	NM_138789.4	NP_620144.1
NKAPD1	NKAPD1	NM_018195.4	NP_060665.3
TIMM8B	TIMM8B	NM_012459.4	NP_036591.3
SDHD	SDHD	NM_003002.4	NP_002993.1
IL18	IL18	NM_001562.4	NP_001553.1
TEX12	TEX12	NM_031275.4	NP_112565.1
BCO2	BCO2	NM_031938.7	NP_114144.5
PTS	PTS	NM_000317.3	NP_000308.1
PLET1	PLET1	NM_001145024.1	NP_001138496.1
NCAM1	NCAM1	NM_181351.5	NP_851996.2
TTC12	TTC12	NM_017868.4	NP_060338.3
ANKK1	ANKK1	NM_178510.2	NP_848605.1
DRD2	DRD2	NM_000795.4	NP_000786.1
TMPRSS5	TMPRSS5	NM_030770.4	NP_110397.2
ZW10	ZW10	NM_004724.4	NP_004715.1
CLDN25	CLDN25	NM_001101389.1	NP_001094859.1
USP28	USP28	NM_001346252.4	NP_001333181.1
HTR3B	HTR3B	NM_006028.5	NP_006019.1
HTR3A	HTR3A	NM_000869.6	NP_000860.3
ZBTB16	ZBTB16	NM_006006.6	NP_005997.2
NNMT	NNMT	NM_006169.3	NP_006160.1
C11orf71	C11orf71	NM_001271562.2	NP_001258491.1
RBM7	RBM7	NM_001286045.2	NP_001272974.1
REXO2	REXO2	NM_015523.4	NP_056338.2
NXPE2	NXPE2	NM_182495.6	NP_872301.2
NXPE1	NXPE1	NM_001395504.1	NP_001382433.1
NXPE4	NXPE4	NM_001077639.2	NP_001071107.1
CADM1	CADM1	NM_001301043.2	NP_001287972.1
BUD13	BUD13	NM_032725.4	NP_116114.1
ZPR1	ZPR1	NM_003904.5	NP_003895.1
APOA5	APOA5	NM_001371904.1	NP_001358833.1
APOA4	APOA4	NM_000482.4	NP_000473.2
APOC3	APOC3	NM_000040.3	NP_000031.1
APOA1	APOA1	NM_000039.3	NP_000030.1
SIK3	SIK3	NM_001366686.3	NP_001353615.1
PAFAH1B2	PAFAH1B2	NM_002572.4	NP_002563.1
SIDT2	SIDT2	NM_001040455.2	NP_001035545.1
TAGLN	TAGLN	NM_003186.5	NP_003177.2
PCSK7	PCSK7	NM_004716.4	NP_004707.2
RNF214	RNF214	NM_207343.4	NP_997226.2
BACE1	BACE1	NM_012104.6	NP_036236.1
CEP164	CEP164	NM_014956.5	NP_055771.4
DSCAML1	DSCAML1	NM_020693.4	NP_065744.3
FXYD2	FXYD2	NM_001680.5	NP_001671.2
FXYD6	FXYD6	NM_022003.4	NP_071286.1
TMPRSS13	TMPRSS13	NM_001077263.3	NP_001070731.1
IL10RA	IL10RA	NM_001558.4	NP_001549.2
SMIM35	SMIM35	NM_001394165.1	NP_001381094.1
TMPRSS4	TMPRSS4	NM_019894.4	NP_063947.2
SCN4B	SCN4B	NM_174934.4	NP_777594.1
SCN2B	SCN2B	NM_004588.5	NP_004579.1
JAML	JAML	NM_001098526.2	NP_001091996.1
MPZL3	MPZL3	NM_198275.3	NP_938016.1
MPZL2	MPZL2	NM_005797.4	NP_005788.1
CD3E	CD3E	NM_000733.4	NP_000724.1
CD3D	CD3D	NM_000732.6	NP_000723.1
CD3G	CD3G	NM_000073.3	NP_000064.1
UBE4A	UBE4A	NM_001204077.2	NP_001191006.1
ATP5MG	ATP5MG	NM_006476.5	NP_006467.4
KMT2A	KMT2A	NM_001197104.2	NP_001184033.1
TTC36	TTC36	NM_001080441.4	NP_001073910.1
TMEM25	TMEM25	NM_032780.4	NP_116169.2
IFT46	IFT46	NM_001168618.2	NP_001162089.1
ARCN1	ARCN1	NM_001655.5	NP_001646.2
PHLDB1	PHLDB1	NM_001144758.3	NP_001138230.1
TREH	TREH	NM_007180.3	NP_009111.2
DDX6	DDX6	NM_004397.6	NP_004388.2
CXCR5	CXCR5	NM_001716.5	NP_001707.1
BCL9L	BCL9L	NM_001378213.1	NP_001365142.1
UPK2	UPK2	NM_006760.4	NP_006751.1
FOXR1	FOXR1	NM_181721.3	NP_859072.1
CENATAC	CENATAC	NM_198489.3	NP_940891.1
RPS25	RPS25	NM_001028.3	NP_001019.1
TRAPPC4	TRAPPC4	NM_016146.6	NP_057230.1
HYOU1	HYOU1	NM_006389.5	NP_006380.1
VPS11	VPS11	NM_021729.6	NP_068375.3
HMBS	HMBS	NM_000190.4	NP_000181.2
DPAGT1	DPAGT1	NM_001382.4	NP_001373.2
H2AX	H2AX	NM_002105.3	NP_002096.1
C2CD2L	C2CD2L	NM_001290474.2	NP_001277403.1
HINFP	HINFP	NM_198971.3	NP_945322.1
ABCG4	ABCG4	NM_022169.5	NP_071452.2
NLRX1	NLRX1	NM_001282144.2	NP_001269073.1
NHERF4	NHERF4	NM_001168468.2	NP_001161940.1
CCDC153	CCDC153	NM_001145018.3	NP_001138490.1
CBL	CBL	NM_005188.4	NP_005179.2
MCAM	MCAM	NM_006500.3	NP_006491.2
RNF26	RNF26	NM_032015.5	NP_114404.1
C1QTNF5	C1QTNF5	NM_001278431.2	NP_001265360.1
MFRP	MFRP	NM_031433.4	NP_113621.1
USP2	USP2	NM_004205.5	NP_004196.4
THY1	THY1	NM_006288.5	NP_006279.2
NECTIN1	NECTIN1	NM_002855.5	NP_002846.3
TRIM29	TRIM29	NM_012101.4	NP_036233.2
OAF	OAF	NM_178507.4	NP_848602.1
POU2F3	POU2F3	NM_014352.4	NP_055167.2
TLCD5	TLCD5	NM_001198671.2	NP_001185600.1
ARHGEF12	ARHGEF12	NM_015313.3	NP_056128.1
GRIK4	GRIK4	NM_014619.5	NP_055434.2
TBCEL	TBCEL	NM_001363644.2	NP_001350573.1
TECTA	TECTA	NM_005422.4	NP_005413.2
SC5D	SC5D	NM_006918.5	NP_008849.2
SORL1	SORL1	NM_003105.6	NP_003096.2
BLID	BLID	NM_001001786.3	NP_001001786.2
UBASH3B	UBASH3B	NM_032873.5	NP_116262.2
CRTAM	CRTAM	NM_019604.4	NP_062550.2
JHY	JHY	NM_024806.4	NP_079082.2
BSX	BSX	NM_001098169.2	NP_001091639.1
HSPA8	HSPA8	NM_006597.6	NP_006588.1
CLMP	CLMP	NM_024769.5	NP_079045.1
GRAMD1B	GRAMD1B	NM_001387025.1	NP_001373954.1
SCN3B	SCN3B	NM_001040151.2	NP_001035241.1
ZNF202	ZNF202	NM_003455.4	NP_003446.2
OR6X1	OR6X1	NM_001005188.1	NP_001005188.1
OR6M1	OR6M1	NM_001005325.1	NP_001005325.1
TMEM225	TMEM225	NM_001013743.3	NP_001013765.2
OR8D4	OR8D4	NM_001005197.2	NP_001005197.1
OR4D5	OR4D5	NM_001001965.1	NP_001001965.1
OR6T1	OR6T1	NM_001005187.1	NP_001005187.1
OR10S1	OR10S1	NM_001004474.2	NP_001004474.2
OR10G6	OR10G6	NM_001355219.1	NP_001342148.1
OR10G4	OR10G4	NM_001004462.2	NP_001004462.1
OR10G9	OR10G9	NM_001001953.1	NP_001001953.1
OR10G8	OR10G8	NM_001004464.2	NP_001004464.1
OR10G7	OR10G7	NM_001004463.2	NP_001004463.1
VWA5A	VWA5A	NM_001130142.2	NP_001123614.1
OR10D3	OR10D3	NM_001355213.3	NP_001342142.1
OR8G1	OR8G1	NM_001002905.2	NP_001002905.1
OR8G5	OR8G5	NM_001005198.2	NP_001005198.2
OR8D1	OR8D1	NM_001002917.2	NP_001002917.1
OR8D2	OR8D2	NM_001002918.1	NP_001002918.1
OR8B2	OR8B2	NM_001005468.2	NP_001005468.1
OR8B3	OR8B3	NM_001005467.2	NP_001005467.1
OR8B4	OR8B4	NM_001005196.1	NP_001005196.1
OR8B8	OR8B8	NM_012378.2	NP_036510.1
OR8B12	OR8B12	NM_001005195.1	NP_001005195.1
OR8A1	OR8A1	NM_001005194.2	NP_001005194.2
PANX3	PANX3	NM_052959.3	NP_443191.1
TBRG1	TBRG1	NM_032811.3	NP_116200.2
SIAE	SIAE	NM_170601.5	NP_733746.1
SPA17	SPA17	NM_017425.4	NP_059121.1
NRGN	NRGN	NM_006176.3	NP_006167.1
VSIG2	VSIG2	NM_014312.5	NP_055127.2
ESAM	ESAM	NM_138961.3	NP_620411.2
MSANTD2	MSANTD2	NM_001308027.2	NP_001294956.1
ROBO3	ROBO3	NM_022370.4	NP_071765.2
ROBO4	ROBO4	NM_019055.6	NP_061928.4
HEPACAM	HEPACAM	NM_152722.5	NP_689935.2
HEPN1	HEPN1	NM_001037558.4	NP_001032647.2
CCDC15	CCDC15	NM_025004.3	NP_079280.2
SLC37A2	SLC37A2	NM_001145290.2	NP_001138762.1
TMEM218	TMEM218	NM_001258244.2	NP_001245173.1
PKNOX2	PKNOX2	NM_001382323.2	NP_001369252.1
FEZ1	FEZ1	NM_005103.5	NP_005094.1
EI24	EI24	NM_004879.5	NP_004870.3
STT3A	STT3A	NM_152713.5	NP_689926.1
CHEK1	CHEK1	NM_001114122.3	NP_001107594.1
ACRV1	ACRV1	NM_001612.6	NP_001603.1
PATE1	PATE1	NM_138294.3	NP_612151.1
PATE2	PATE2	NM_212555.3	NP_997720.1
PATE3	PATE3	NM_001129883.4	NP_001123355.3
PATE4	PATE4	NM_001144874.1	NP_001138346.1
HYLS1	HYLS1	NM_001134793.2	NP_001128265.1
PUS3	PUS3	NM_031307.4	NP_112597.4
DDX25	DDX25	NM_013264.5	NP_037396.3
VSIG10L2	VSIG10L2	NM_001365077.2	NP_001352006.1
CDON	CDON	NM_001378964.1	NP_001365893.1
RPUSD4	RPUSD4	NM_032795.3	NP_116184.2
FAM118B	FAM118B	NM_024556.4	NP_078832.1
SRPRA	SRPRA	NM_003139.4	NP_003130.2
FOXRED1	FOXRED1	NM_017547.4	NP_060017.1
TIRAP	TIRAP	NM_001318777.2	NP_001305706.1
DCPS	DCPS	NM_014026.6	NP_054745.1
ST3GAL4	ST3GAL4	NM_001254757.2	NP_001241686.1
KIRREL3	KIRREL3	NM_032531.4	NP_115920.1
ETS1	ETS1	NM_001143820.2	NP_001137292.1
FLI1	FLI1	NM_002017.5	NP_002008.2
KCNJ1	KCNJ1	NM_153766.3	NP_722450.1
KCNJ5	KCNJ5	NM_000890.5	NP_000881.3
TP53AIP1	TP53AIP1	NM_022112.3	NP_071395.2
ARHGAP32	ARHGAP32	NM_001378024.1	NP_001364953.1
BARX2	BARX2	NM_003658.5	NP_003649.2
TMEM45B	TMEM45B	NM_138788.5	NP_620143.1
NFRKB	NFRKB	NM_001143835.2	NP_001137307.1
PRDM10	PRDM10	NM_199437.2	NP_955469.1
APLP2	APLP2	NM_001142276.2	NP_001135748.1
ST14	ST14	NM_021978.4	NP_068813.1
ZBTB44	ZBTB44	NM_001301098.2	NP_001288027.1
